timestamp,date_gmt,status,home_team_name,away_team_name,referee,game_week,pre_match_ppg_home_,pre_match_ppg_away_,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_ht_fhg_percentage_pre_match,over_05_ht_fhg_percentage_pre_match,over_15_2hg_percentage_pre_match,over_05_2hg_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,stadium_name,competici_n
1717776000,Jun 07 2024 - 4:00pm,complete,Madagascar,Comoros,Jean Jacques Ndala Ngambo,3.0,1.5,3.0,1.9,1.5,2,1,3,1,1,0,"1,66",90'4,3,3,2,0,2,0,1,1,1,1,7,12,3,3,4,9,10,7,69,31,2.75,25,50,50,25,25,25,75,50,75,9.5,2.5,desconocido,CAF
1717786800,Jun 07 2024 - 7:00pm,complete,Nigeria,South Africa,Al Hadi Mahamat,3.0,1.0,1.5,1.75,2.1,1,1,2,1,0,1,46,29,3,3,1,0,3,0,1,0,1,2,11,7,5,4,6,3,8,16,58,42,2.25,75,100,25,0,0,50,75,25,75,14.5,2.5,desconocido,CAF
1717786800,Jun 07 2024 - 7:00pm,complete,Morocco,Zambia,Issa Sy,3.0,3.0,1.5,3.0,1.13,2,1,3,1,1,0,"6,67",80,5,2,0,0,3,0,0,0,1,2,13,4,5,1,8,3,14,19,88,12,3.25,50,100,50,25,25,50,100,25,100,8.0,5.5,Stade d'Agadir,CAF
1717786800,Jun 07 2024 - 7:00pm,complete,Ivory Coast,Gabon,Omar Abdulkadir Artan,3.0,3.0,3.0,2.6,2.27,1,0,1,1,1,0,36,desconocido,4,4,0,0,2,0,0,0,0,2,10,7,5,3,5,4,13,14,28,72,4.25,50,100,75,25,25,25,100,75,100,14.5,4.5,desconocido,CAF
1717851600,Jun 08 2024 - 1:00pm,complete,Cameroon,Cape Verde Islands,Mustapha Ghorbal,3.0,2.0,2.0,1.73,2.3,4,1,5,4,3,1,"13,25,44,54",37,4,1,3,0,0,0,1,2,0,0,9,9,5,4,4,5,25,10,83,17,1.75,25,75,25,0,0,50,75,25,25,8.5,2.5,Stade Omnisport Ahmadou Ahidjo,CAF
1717862400,Jun 08 2024 - 4:00pm,complete,Gambia,Seychelles,Joseph Odey Ogabor,3.0,0.0,0.0,1.3,0.0,5,1,6,2,1,1,"10,52,55,66,78",14,9,2,4,0,2,0,2,2,0,2,15,3,9,2,6,1,8,9,70,30,5.25,25,100,75,75,75,75,100,75,100,4.0,4.0,Stade Municipal de Berkane,CAF
1717938000,Jun 09 2024 - 1:00pm,complete,SÃ£o TomÃ© e PrÃ­ncipe,Liberia,Andofetra Rakotojaona,4.0,0.0,0.33,0.3,1.2,0,1,1,0,0,0,desconocido,90,9,6,2,0,1,0,1,1,0,1,5,14,1,5,4,9,12,12,58,42,2.33,33,67,34,34,0,17,67,34,84,6.67,2.33,desconocido,CAF
1717948800,Jun 09 2024 - 4:00pm,complete,Djibouti,Ethiopia,Chelanget Sabila,4.0,0.0,0.67,0.1,0.9,1,1,2,2,1,1,29,31,1,7,3,0,1,0,1,2,0,1,5,8,3,2,2,6,15,11,32,68,2.17,17,50,50,17,17,34,50,33,50,6.67,3.33,Stade Ben Ahmed El Abdi,CAF
1717948800,Jun 09 2024 - 4:00pm,complete,Congo DR,Togo,Mehrez Malki,4.0,1.33,1.0,2.17,0.8,1,0,1,1,1,0,6,desconocido,1,8,1,0,1,0,0,1,1,0,8,10,1,6,7,4,18,15,41,59,1.5,50,67,0,0,0,17,33,33,67,17.66,2.66,Stade des Martyrs de la PentecÃ´te,CAF
1717948800,Jun 09 2024 - 4:00pm,complete,Mauritania,Senegal,Samir Guezzaz,4.0,0.33,1.67,0.7,2.4,0,1,1,1,0,1,desconocido,27,1,2,4,0,1,0,2,2,0,1,10,6,5,6,5,0,16,15,69,31,1.67,17,67,17,17,0,33,50,17,50,7.0,1.0,desconocido,CAF
1717948800,Jun 09 2024 - 4:00pm,complete,Namibia,Tunisia,Dahane Beida,4.0,2.33,3.0,1.5,2.8,0,0,0,0,0,0,desconocido,desconocido,5,6,2,0,0,0,0,2,0,0,5,4,2,0,3,4,13,16,50,50,2.17,17,67,33,17,0,0,50,17,84,7.34,4.34,Orlando Stadium,CAF
1718024400,Jun 10 2024 - 1:00pm,complete,Somalia,Botswana,Emmanuel Mensah,4.0,0.0,1.0,0.1,1.0,1,3,4,1,0,1,74,"10,53,71",4,3,1,0,2,0,0,1,0,2,7,7,4,4,3,3,16,18,43,57,2.5,50,50,50,33,17,34,67,33,84,6.33,6.33,EstÃ¡dio Nacional do Zimpeto,CAF
1718024400,Jun 10 2024 - 1:00pm,complete,Equatorial Guinea,Malawi,Lamin Jammeh,4.0,1.0,2.0,1.4,1.3,1,0,1,0,0,0,82,desconocido,3,1,1,0,3,0,0,1,2,1,21,1,4,1,17,0,14,17,33,67,1.84,17,33,33,17,0,17,17,17,67,6.67,3.33,Nuevo Estadio de Malabo,CAF
1718035200,Jun 10 2024 - 4:00pm,complete,Guinea-Bissau,Egypt,Mahmood Ali Mahmood Ismail,4.0,1.67,3.0,1.0,2.6,1,1,2,1,1,0,42,70,3,2,4,0,2,0,2,2,2,0,2,6,1,2,1,4,8,11,50,50,2.34,33,67,34,17,17,34,84,17,67,10.33,4.0,EstÃ¡dio Nacional 24 de Setembro,CAF
1718035200,Jun 10 2024 - 4:00pm,complete,Benin,Nigeria,Pierre Atcho,4.0,1.33,1.0,1.7,1.75,2,1,3,3,2,1,"37,45'3",27,3,6,0,0,1,0,0,0,0,1,6,7,4,1,2,6,13,16,60,40,1.67,67,67,17,0,0,17,67,17,67,10.0,3.0,Stade de l'AmitiÃ©,CAF
1718035200,Jun 10 2024 - 4:00pm,complete,Uganda,Algeria,Adissa Abdul Raphiou Ligali,4.0,2.0,2.0,1.8,2.5,1,2,3,1,1,0,10,"46,58",6,1,4,0,3,0,2,2,0,3,7,6,4,3,3,3,17,11,41,59,2.34,50,67,50,17,0,33,50,50,84,8.67,4.66,Stade de la RÃ©unification,CAF
1718046000,Jun 10 2024 - 7:00pm,complete,Burkina,Sierra Leone,Lahlou Benbraham,4.0,1.33,1.33,2.1,1.5,2,2,4,2,2,0,"41,45'2","58,88",6,1,2,0,1,0,1,1,1,0,16,7,5,3,11,4,18,14,50,50,2.17,50,84,50,0,0,33,67,17,84,8.66,3.0,Stade 26 Mars,CAF
1718046000,Jun 10 2024 - 7:00pm,complete,Guinea,Mozambique,Pacifique Ndabihawenimana,4.0,2.0,2.0,1.5,1.8,0,1,1,0,0,0,desconocido,90'3,6,5,0,0,2,0,0,0,0,2,12,11,6,5,6,6,15,11,50,50,2.83,67,84,67,17,17,33,50,50,100,12.0,3.66,Stade Ben Ahmed El Abdi,CAF
