id_partido,match_no,fase,ronda,grupo,fecha_local,hora_local_24h,fecha_peru,hora_peru,id_equipo_local,equipo_local,equipo_local_normalizado,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_normalizado,codigo_visitante,id_sede,ciudad,pais_sede,estadio,sede_normalizada,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
12,12,Fase de grupos,Group Stage,F,2026-06-14,16:00,2026-06-14,16:00,42,Sweden,sweden,SWE,44,Tunisia,tunisia,TUN,11,Monterrey,Mexico,Estadio BBVA,estadio bbva,Sweden vs Tunisia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
13,13,Fase de grupos,Group Stage,H,2026-06-15,16:00,2026-06-15,15:00,37,Saudi Arabia,saudi arabia,KSA,47,Uruguay,uruguay,URU,5,Miami,United States,Hard Rock Stadium,hard rock stadium,Saudi Arabia vs Uruguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
14,14,Fase de grupos,Group Stage,H,2026-06-15,16:00,2026-06-15,15:00,41,Spain,spain,ESP,8,Cabo Verde,cabo verde,CPV,1,Atlanta,United States,Mercedes-Benz Stadium,mercedes benz stadium,Spain vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
15,15,Fase de grupos,Group Stage,G,2026-06-15,16:00,2026-06-15,18:00,23,Iran,iran,IRN,31,New Zealand,new zealand,NZL,12,Los Angeles,United States,SoFi Stadium,sofi stadium,Iran vs New Zealand,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
16,16,Fase de grupos,Group Stage,G,2026-06-15,16:00,2026-06-15,16:00,5,Belgium,belgium,BEL,17,Egypt,egypt,EGY,7,Seattle,United States,Lumen Field,lumen field,Belgium vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
17,17,Fase de grupos,Group Stage,I,2026-06-16,16:00,2026-06-16,15:00,19,France,france,FRA,39,Senegal,senegal,SEN,13,New York New Jersey,United States,MetLife Stadium,metlife stadium,France vs Senegal,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
18,18,Fase de grupos,Group Stage,I,2026-06-16,16:00,2026-06-16,15:00,24,Iraq,iraq,IRQ,32,Norway,norway,NOR,2,Boston,United States,Gillette Stadium,gillette stadium,Iraq vs Norway,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
19,19,Fase de grupos,Group Stage,J,2026-06-16,16:00,2026-06-16,16:00,2,Argentina,argentina,ARG,1,Algeria,algeria,ALG,15,Kansas City,United States,Arrowhead Stadium,arrowhead stadium,Argentina vs Algeria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
20,20,Fase de grupos,Group Stage,J,2026-06-16,16:00,2026-06-16,16:00,4,Austria,austria,AUT,26,Jordan,jordan,JOR,14,San Francisco Bay Area,United States,Levi's Stadium,levi s stadium,Austria vs Jordan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
21,21,Fase de grupos,Group Stage,L,2026-06-17,16:00,2026-06-17,15:00,21,Ghana,ghana,GHA,33,Panama,panama,PAN,8,Toronto,Canada,BMO Field,bmo field,Ghana vs Panama,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
