"id_jugador","jugador_nombre_limpio","seleccion","foto_url","thesportsdb_id","nombre_api","estado_foto","error_api"
"379","SULC Pavel","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Pavel+Sulc"
"380","STANEK Jindrich","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jindrich+Stanek"
"381","PROVOD Lukas","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Lukas+Provod"
"382","SADILEK Michal","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Michal+Sadilek"
"383","CHORY Tomas","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Tomas+Chory"
"384","ZELENY Jaroslav","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jaroslav+Zeleny"
"385","DOUDERA David","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=David+Doudera"
"386","SOUCEK Tomas","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Tomas+Soucek"
"387","HORNICEK Lukas","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Lukas+Hornicek"
"388","SOJKA Alexandr","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Alexandr+Sojka"
"389","SOCHUREK Hugo","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Hugo+Sochurek"
"390","VISINSKY Denis","Czechia","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Denis+Visinsky"
"391","GALINDEZ Hernan Ismael","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Hernan+Ismael+Galindez"
"392","TORRES Felix Eduardo CAICEDO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Felix+Eduardo+Caicedo+Torres"
"393","HINCAPIE Piero Martin REYNA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Piero+Martin+Reyna+Hincapie"
