timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1717707600,Jun 06 2024 - 9:00pm,complete,N/A,Haiti,St. Lucia,Ismail Elfath,1,0.00,0.00,2.00,1.00,2,1,3,1,0,1,"47,77","18",9,3,2,0,2,0,1,1,0,2,21,3,6,2,15,1,16,15,65,35,0.00,0.00,2.26,0.53,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.13,7.00,19.00,1.14,1.40,2.25,3.28,2.25,1.57,N/A
1717720200,Jun 07 2024 - 12:30am,complete,N/A,Honduras,Cuba,N/A,1,0.00,0.00,2.10,1.50,3,1,4,3,2,1,"26,45'2,82","22",12,3,0,0,3,0,0,0,0,3,15,2,8,1,7,1,10,11,58,42,0.00,0.00,2.23,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.11,9.00,23.00,1.18,1.60,2.60,3.90,3.40,1.30,Estadio Tiburcio Carías Andino
1717720200,Jun 07 2024 - 12:30am,complete,N/A,Panama,Guyana,Filiberto Martinez,1,0.00,0.00,2.40,1.50,2,0,2,0,0,0,"62,65","",6,3,3,0,4,0,1,2,1,3,14,7,7,2,7,5,8,15,59,41,0.00,0.00,1.78,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.09,9.50,19.00,1.12,1.40,2.15,3.40,2.62,1.56,Estadio Rommel Fernández Gutiérrez
1717727400,Jun 07 2024 - 2:30am,complete,N/A,El Salvador,Puerto Rico,N/A,1,0.00,0.00,1.10,1.75,0,0,0,0,0,0,"","",5,4,2,0,3,0,0,2,1,2,7,4,3,1,4,3,28,19,50,50,0.00,0.00,1.11,0.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.33,6.50,1.22,1.65,2.95,5.10,1.91,1.91,Estadio Cuscatlán
1717727400,Jun 07 2024 - 2:30am,complete,N/A,Costa Rica,St. Kitts and Nevis,Julio Luna Guzmán,1,0.00,0.00,1.90,0.75,4,0,4,1,1,0,"40,49,82,84","",5,3,1,0,3,0,0,1,2,1,15,4,7,1,8,3,11,13,65,35,0.00,0.00,1.94,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,11.00,34.00,1.08,1.33,1.93,2.90,3.00,1.36,Estadio Nacional de Costa Rica
1717873200,Jun 08 2024 - 7:00pm,complete,N/A,British Virgin Islands,Guatemala,N/A,2,1.00,3.00,0.33,1.70,0,3,3,2,0,2,"","23,45'3,47",2,14,3,0,0,0,1,2,0,0,3,18,2,10,1,8,7,8,27,73,0.00,3.29,0.53,2.63,3.50,25,75,50,50,50,50,50,50,50,10.00,1.50,51.00,19.00,1.02,1.07,1.22,1.69,2.50,5.50,1.14,N/A
1717875000,Jun 08 2024 - 7:30pm,complete,N/A,Anguilla,Suriname,N/A,2,1.00,3.00,0.33,1.90,0,4,4,1,0,1,"","10,62,75,87",0,12,1,0,2,0,0,1,1,1,1,23,1,10,0,13,2,10,14,86,0.00,1.61,0.26,3.12,3.00,75,75,50,50,50,75,75,50,50,5.00,4.50,51.00,23.00,1.00,1.03,1.02,1.39,1.90,6.00,1.14,N/A
1717882200,Jun 08 2024 - 9:30pm,complete,N/A,Bahamas,Trinidad and Tobago,Marco Antonio Ortíz Nava,2,0.00,1.00,0.00,1.40,1,7,8,4,0,4,"87","6,14,43,45,56,66,84",1,4,1,0,0,0,1,0,0,0,8,20,5,11,3,9,7,9,41,59,0.00,1.41,1.08,2.48,2.00,50,50,50,50,0,50,50,0,50,4.00,2.00,19.00,13.00,1.09,1.07,1.36,2.01,2.57,2.63,1.44,N/A
1717891200,Jun 09 2024 - 12:00am,complete,N/A,Aruba,Curaçao,César Arturo Ramos Palazuelos,2,0.00,3.00,0.50,2.40,0,2,2,0,0,0,"","58,90'6",1,9,2,0,0,0,0,2,0,0,3,19,2,5,1,14,11,4,24,76,0.00,1.33,0.65,2.13,2.50,50,50,50,50,50,0,50,50,50,4.00,2.00,11.00,5.75,1.25,1.17,1.48,2.40,4.20,1.95,1.80,N/A
1717891200,Jun 09 2024 - 12:00am,complete,N/A,Belize,Nicaragua,Bryan López,2,0.00,3.00,0.00,1.30,0,4,4,1,0,1,"","39,56,65,89",5,2,0,0,2,0,0,0,1,1,10,22,4,10,6,12,7,19,36,64,0.00,1.79,1.18,2.45,2.50,50,50,50,50,50,50,50,50,50,2.00,0.00,9.50,4.75,1.36,1.10,1.75,2.10,3.50,2.10,1.67,FFB Field
