team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Ivory Coast National Team,Ivory Coast,2026,Ivory Coast,10,5,5,0,8,5,3,2,0,2,0,0,0,2.6,3,2.2,1,0,0,2,25,0,25,25,15,10,15,10,0,0,15,10,36,30,45,0,0,0,10,5,5,0,0,0,2,0,2,8,5,3,69,29,40,10,3,7,55,52,58,136,84,52,58,42,16,78,42,36,105,52,53,14,8,6,0,0,0,14,8,6,8,5,3,2,0,2,0,0,0,2.6,3,2.2,2.5,3,2,2.5,3,2,0,0,0,1.4,1.6,1.2,1.4,1.6,1.2,0,0,0,8,4,3,2,2,2,5,2,2,1,1,1,3,2,1,1,1,1,2,6,7,8,8,8,0,3,3,4,4,4,2,3,4,4,4,4,80,40,30,20,20,20,100,40,40,20,20,20,60,40,20,20,20,20,20,60,70,80,80,80,0,60,60,80,80,80,40,60,80,80,80,80,8,2,2,5,1,1,3,1,1,80,20,20,100,20,20,60,20,20,80,100,60,0,100,100,100,0,0,0,20,0,40,80,100,60,10,5,5,100,100,100,2,0,2,20,0,40,0,0,0,0,0,0,80,100,60,20,0,40,0,0,0,6.90,5.80,8.00,1,0.6,1.40,70,50,40,40,40,30,20,20,1.77,2.16,1.38,0.57,0.58,0.56,60,3,4,1,5,1,3,1,1,6,0,0,0,0,0,0,0,0,0,20,0,40,0,0,0,20
Ghana National Team,Ghana,2026,Ghana,10,5,5,0,8,5,3,1,0,1,1,0,1,2.5,3,2,1,0,0,6,23,6,17,29,15,14,12,11,3,3,9,8,39,38,41,150,150,150,6,4,2,3,1,2,1,0,1,8,5,3,48,20,28,11,7,4,55,58,52,110,46,64,45,23,22,65,23,42,121,57,64,7,4,3,4,2,2,3,2,1,4,1,3,3,3,0,3,1,2,1.5,1.2,1.8,2.9,3,2.8,2.3,2.4,2.2,0.6,0.6,0.6,1.1,1.2,1,0.7,0.8,0.6,0.4,0.4,0.4,10,6,5,3,3,1,5,2,2,2,2,1,5,4,3,1,1,0,0,4,5,7,7,9,0,3,3,3,3,4,0,1,2,4,4,5,100,60,50,30,30,10,100,40,40,40,40,20,100,80,60,20,20,0,0,40,50,70,70,90,0,60,60,60,60,80,0,20,40,80,80,100,7,2,2,2,2,2,5,0,0,70,20,20,40,40,40,100,0,0,80,100,60,0,60,80,40,30,20,40,10,0,20,80,100,60,7,4,3,70,80,60,5,3,2,50,60,40,1,1,0,10,20,0,40,20,60,30,60,0,30,20,40,4.80,4.00,5.60,1.1,1.4,0.80,70,30,30,30,20,10,10,0,1.48,1.34,1.62,0.93,0.91,0.94,70,2,3,0,2,2,6,4,1,3,0,1,0,0,3,0,0,0,2,10,0,20,10,0,20,0
Nigeria National Team,Nigeria,2026,Nigeria,12,7,5,0,5,3,2,6,4,2,1,0,1,1.75,1.86,1.6,2,0,0,13,20,10,10,30,18,12,13,7,5,5,8,2,54,48,64,108,127,90,3,2,1,9,5,4,0,0,0,7,4,3,65,38,27,18,8,10,55,57,52,116,79,37,56,40,16,60,39,21,144,65,79,7,3,4,6,2,4,1,1,0,2,1,1,7,5,2,3,1,2,1.08,1.14,1,2.5,2.57,2.4,1.67,1.86,1.4,0.83,0.71,1,1.08,0.71,1.6,0.58,0.43,0.8,0.5,0.29,0.8,12,11,4,2,1,0,7,6,2,2,1,0,5,5,2,0,0,0,0,1,8,10,11,12,0,1,5,5,6,7,0,0,3,5,5,5,100,92,33,17,8,0,100,86,29,29,14,0,100,100,40,0,0,0,0,8,67,83,92,100,0,14,71,71,86,100,0,0,60,100,100,100,7,5,1,3,2,0,4,3,1,58,42,8,43,29,0,80,60,20,42,43,40,13,25,29,20,75,71,80,0,0,0,58,57,60,7,5,2,58,71,40,7,5,2,58,71,40,3,1,2,25,14,40,17,14,20,58,71,40,25,14,40,5.42,5.43,5.40,1.5,1.14,2.00,67,50,33,25,25,25,17,8,1.47,1.61,1.23,0.84,0.91,0.72,33,2,1,1,1,3,3,2,3,1,0,0,3,2,1,1,0,0,3,50,57,40,8,0,20,8
Cameroon National Team,Cameroon,2026,Cameroon,11,6,5,0,5,4,1,4,1,3,2,1,1,1.73,2.17,1.2,2,0,0,15,17,6,11,23,16,7,13,4,3,3,10,1,58,41,113,164,180,150,5,3,2,4,2,2,4,2,2,7,4,3,49,31,18,19,12,7,61,62,60,127,62,65,50,30,20,77,32,45,177,97,80,10,8,2,2,1,1,8,7,1,5,4,1,6,2,4,0,0,0,1.91,2.33,1.4,2.09,2.67,1.4,1.55,2.17,0.8,0.55,0.5,0.6,1.09,1.5,0.6,0.91,1.33,0.4,0.18,0.17,0.2,9,7,4,2,1,0,5,4,4,2,1,0,4,3,0,0,0,0,2,4,7,9,10,11,1,2,2,4,5,6,1,2,5,5,5,5,82,64,36,18,9,0,83,67,67,33,17,0,80,60,0,0,0,0,18,36,64,82,91,100,17,33,33,67,83,100,20,40,100,100,100,100,6,3,2,4,2,2,2,1,0,55,27,18,67,33,33,40,20,0,45,67,20,25,45,50,40,36,33,40,36,33,40,64,67,60,9,5,4,82,83,80,5,2,3,45,33,60,2,1,1,18,17,20,45,67,20,55,33,80,0,0,0,4.45,5.17,3.60,1.73,2,1.40,55,36,27,9,9,9,9,9,1.57,1.51,1.65,0.93,0.85,1.02,64,1,2,4,1,2,3,1,0,3,0,0,0,1,1,2,0,0,2,36,17,60,18,17,20,9
Algeria National Team,Algeria,2026,Algeria,10,5,5,0,8,4,4,1,0,1,1,1,0,2.5,2.4,2.6,1,0,0,5,24,8,16,32,20,12,14,10,6,2,8,8,38,32,45,113,75,225,3,0,3,7,5,2,1,0,1,6,3,3,63,33,30,16,8,8,61,63,58,84,55,29,47,30,17,37,25,12,101,43,58,9,6,3,4,3,1,5,3,2,4,2,2,4,2,2,2,1,1,1.6,1.6,1.6,3.2,4,2.4,2.4,2.8,2,0.8,1.2,0.4,1.3,1.8,0.8,0.9,1.2,0.6,0.4,0.6,0.2,9,9,8,4,1,1,5,5,5,3,1,1,4,4,3,1,0,0,1,1,2,6,9,9,0,0,0,2,4,4,1,1,2,4,5,5,90,90,80,40,10,10,100,100,100,60,20,20,80,80,60,20,0,0,10,10,20,60,90,90,0,0,0,40,80,80,20,20,40,80,100,100,7,4,1,4,3,1,3,1,0,70,40,10,80,60,20,60,20,0,80,80,80,-17,30,0,60,70,100,40,10,0,20,60,60,60,6,2,4,60,40,80,5,2,3,50,40,60,2,2,0,20,40,0,40,40,40,40,40,40,20,20,20,6.30,6.60,6.00,1.6,1.6,1.60,100,60,50,50,40,40,30,10,1.34,1.70,0.98,0.86,0.89,0.82,70,3,1,2,2,2,4,2,5,3,2,0,0,1,2,0,3,0,0,10,0,20,10,20,0,10
Senegal National Team,Senegal,2026,Senegal,10,5,5,0,7,4,3,3,1,2,0,0,0,2.4,2.6,2.2,1,0,0,9,22,3,19,25,14,11,13,9,1,2,12,7,41,35,50,300,450,225,8,4,4,2,1,1,2,0,2,7,5,2,48,18,30,9,4,5,56,57,56,114,60,54,55,31,24,59,29,30,101,42,59,11,8,3,2,0,2,9,8,1,7,5,2,2,0,2,1,0,1,2.3,3,1.6,2.5,2.8,2.2,2.2,2.6,1.8,0.3,0.2,0.4,1.3,1.6,1,1.1,1.6,0.6,0.2,0,0.4,8,7,4,4,2,0,5,5,2,2,0,0,3,2,2,2,2,0,2,3,6,6,8,10,0,0,3,3,5,5,2,3,3,3,3,5,80,70,40,40,20,0,100,100,40,40,0,0,60,40,40,40,40,0,20,30,60,60,80,100,0,0,60,60,100,100,40,60,60,60,60,100,8,3,2,5,2,1,3,1,1,80,30,20,100,40,20,60,20,20,70,80,60,26,80,80,80,20,20,20,20,0,40,70,100,40,9,5,4,90,100,80,2,0,2,20,0,40,1,0,1,10,0,20,70,100,40,20,0,40,10,0,20,4.80,3.60,6.00,0.9,0.8,1.00,50,40,30,20,20,20,10,10,1.61,1.65,1.57,0.93,0.84,1.01,50,2,1,2,2,6,4,2,1,2,0,0,1,1,0,0,0,0,1,30,20,40,0,0,0,0
Kenya National Team,Kenya,2026,Kenya,10,5,5,0,3,1,2,3,2,1,4,2,2,1.2,1,1.4,4,0,0,32,18,14,4,32,14,18,8,10,6,8,2,2,50,56,45,64,75,56,4,2,2,5,3,2,2,1,1,5,2,3,50,33,17,18,9,9,53,55,51,101,54,47,42,22,20,59,32,27,117,57,60,8,4,4,5,4,1,3,0,3,3,1,2,4,2,2,3,2,1,1.3,1,1.6,3.2,2.8,3.6,1.8,1.6,2,1.4,1.2,1.6,1.3,1.6,1,0.8,0.8,0.8,0.5,0.8,0.2,9,8,7,4,3,1,4,4,3,2,1,0,5,4,4,2,2,1,1,2,3,6,7,9,1,1,2,3,4,5,0,1,1,3,3,4,90,80,70,40,30,10,80,80,60,40,20,0,100,80,80,40,40,20,10,20,30,60,70,90,20,20,40,60,80,100,0,20,20,60,60,80,6,3,3,3,2,2,3,1,1,60,30,30,60,40,40,60,20,20,30,20,40,2,40,40,40,50,60,40,20,20,20,50,40,60,7,3,4,70,60,80,7,4,3,70,80,60,0,0,0,0,0,0,30,20,40,40,40,40,30,40,20,5.00,6.60,3.40,1.8,1.8,1.80,70,50,50,30,20,20,10,10,1.32,1.39,1.25,0.98,0.92,1.04,90,3,0,0,3,2,0,4,4,2,1,2,1,1,0,4,1,0,4,30,40,20,40,40,40,10
Central African Republic National Team,Central African Republic,2026,Central African Republic,10,5,5,0,2,1,1,2,1,1,6,3,3,0.8,0.8,0.8,5,0,0,42,11,24,-13,35,13,22,2,9,11,13,-9,-4,82,225,50,38,41,35,2,2,0,5,1,4,4,3,1,4,2,2,33,20,13,21,7,14,48,55,42,52,25,27,24,8,16,28,17,11,124,58,66,7,2,5,8,5,3,-1,-3,2,3,1,2,3,1,2,4,3,1,1.2,0.8,1.6,3.5,2.6,4.4,1.1,0.4,1.8,2.4,2.2,2.6,1.5,1.4,1.6,0.7,0.4,1,0.8,1,0.6,9,8,5,5,5,2,4,3,2,2,2,0,5,5,3,3,3,2,1,2,5,5,5,8,1,2,3,3,3,5,0,0,2,2,2,3,90,80,50,50,50,20,80,60,40,40,40,0,100,100,60,60,60,40,10,20,50,50,50,80,20,40,60,60,60,100,0,0,40,40,40,60,8,5,2,4,2,1,4,3,1,80,50,20,80,40,20,80,60,20,20,20,20,-28,20,40,0,50,20,80,40,60,20,40,40,40,4,2,2,40,40,40,5,3,2,50,60,40,3,1,2,30,20,40,30,20,40,30,20,40,40,60,20,3.30,4.00,2.60,2.1,1.4,2.80,80,70,50,50,40,30,20,10,0.83,0.76,0.89,1.68,1.89,1.46,100,3,1,1,1,1,0,0,2,2,1,3,2,1,3,5,4,2,3,20,20,20,60,60,60,10
South Africa National Team,South Africa,2026,South Africa,10,5,5,0,6,4,2,3,1,2,1,0,1,2.1,2.6,1.6,1,0,0,11,17,6,11,23,14,9,11,6,3,3,8,3,53,41,75,150,150,150,5,2,3,4,3,1,2,0,2,8,5,3,64,30,34,15,9,6,63,64,61,110,55,55,44,25,19,66,30,36,121,52,69,8,6,2,4,2,2,4,4,0,4,2,2,5,3,2,1,0,1,1.7,1.8,1.6,2.3,2.8,1.8,1.7,2.2,1.2,0.6,0.6,0.6,1.2,1.6,0.8,0.8,1.2,0.4,0.4,0.4,0.4,9,9,4,1,0,0,5,5,3,1,0,0,4,4,1,0,0,0,1,1,6,9,10,10,0,0,2,4,5,5,1,1,4,5,5,5,90,90,40,10,0,0,100,100,60,20,0,0,80,80,20,0,0,0,10,10,60,90,100,100,0,0,40,80,100,100,20,20,80,100,100,100,7,5,0,4,4,0,3,1,0,70,50,0,80,80,0,60,20,0,60,80,40,0,50,40,60,40,60,20,20,0,40,80,100,60,7,3,4,70,60,80,4,1,3,40,20,60,2,2,0,20,40,0,40,40,40,50,60,40,10,0,20,6.40,6.00,6.80,1.5,1.8,1.20,50,40,30,30,30,20,20,20,1.35,1.39,1.31,0.71,0.55,0.86,40,3,1,3,0,1,3,3,2,1,1,1,1,0,2,0,1,0,0,30,20,40,10,0,20,10
Guinea National Team,Guinea,2026,Guinea,10,5,5,0,4,1,3,3,3,0,3,1,2,1.5,1.2,1.8,4,0,0,24,11,8,3,19,8,11,4,7,4,4,0,3,82,113,64,113,113,113,3,2,1,4,2,2,5,3,2,4,1,3,62,40,22,13,3,10,55,58,51,81,45,36,33,17,16,48,28,20,138,62,76,5,3,2,5,3,2,0,0,0,1,0,1,8,5,3,1,0,1,1.1,1,1.2,1.9,1.6,2.2,1.1,0.8,1.4,0.8,0.8,0.8,1,1.2,0.8,0.5,0.6,0.4,0.5,0.6,0.4,8,5,5,1,0,0,3,2,2,1,0,0,5,3,3,0,0,0,2,5,5,9,10,10,2,3,3,4,5,5,0,2,2,5,5,5,80,50,50,10,0,0,60,40,40,20,0,0,100,60,60,0,0,0,20,50,50,90,100,100,40,60,60,80,100,100,0,40,40,100,100,100,5,3,1,2,2,1,3,1,0,50,30,10,40,40,20,60,20,0,40,20,60,0,30,40,20,40,40,40,50,60,40,40,20,60,6,3,3,60,60,60,6,3,3,60,60,60,3,2,1,30,40,20,10,0,20,80,100,60,10,0,20,6.20,8.00,4.40,1.3,0.6,2.00,100,70,70,60,60,40,20,0,1.17,1.20,1.14,1.01,0.86,1.16,30,2,1,1,1,1,1,2,0,2,1,1,1,1,1,1,0,1,1,30,60,0,30,20,40,0
