id_partido,match_no,fase,ronda,grupo,fecha_local,dia_semana_en,hora_local_12h,hora_local_24h,timezone_sede,datetime_local_iso,datetime_utc_iso,fecha_peru,hora_peru,datetime_peru_iso,id_equipo_local,equipo_local,equipo_local_original,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_original,codigo_visitante,id_sede,ciudad,pais_sede,estadio,nombre_fifa_estadio,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
11,11,Fase de grupos,Group Stage,F,2026-06-14,Sunday,4:00 pm,16:00,America/Chicago,2026-06-14T16:00:00-05:00,2026-06-14T21:00:00+00:00,2026-06-14,16:00,2026-06-14T16:00:00-05:00,30,Netherlands,Netherlands,NED,25,Japan,Japan,JPN,3,Dallas,United States,AT&T Stadium,Dallas Stadium,Netherlands vs Japan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
12,12,Fase de grupos,Group Stage,F,2026-06-14,Sunday,7:00pm,16:00,America/Monterrey,,,2026-06-14,16:00,,42,Sweden,Sweden,SWE,44,Tunisia,Tunisia,TUN,11,Monterrey,Mexico,Estadio BBVA,Monterrey Stadium,Sweden vs Tunisia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
13,13,Fase de grupos,Group Stage,H,2026-06-15,Monday,4:00 pm,16:00,America/New_York,2026-06-15T16:00:00-04:00,2026-06-15T20:00:00+00:00,2026-06-15,15:00,2026-06-15T15:00:00-05:00,37,Saudi Arabia,Saudi Arabia,KSA,47,Uruguay,Uruguay,URU,5,Miami,United States,Hard Rock Stadium,Miami Stadium,Saudi Arabia vs Uruguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
14,14,Fase de grupos,Group Stage,H,2026-06-15,Monday,4:00 pm,16:00,America/New_York,2026-06-15T16:00:00-04:00,2026-06-15T20:00:00+00:00,2026-06-15,15:00,2026-06-15T15:00:00-05:00,41,Spain,Spain,ESP,8,Cabo Verde,Cape Verde,CPV,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Spain vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
15,15,Fase de grupos,Group Stage,G,2026-06-15,Monday,4:00 pm,16:00,America/Los_Angeles,2026-06-15T16:00:00-07:00,2026-06-15T23:00:00+00:00,2026-06-15,18:00,2026-06-15T18:00:00-05:00,23,Iran,IR Iran,IRN,31,New Zealand,New Zealand,NZL,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Iran vs New Zealand,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
16,16,Fase de grupos,Group Stage,G,2026-06-15,Monday,7:00pm,16:00,America/Los_Angeles,,,2026-06-15,16:00,,5,Belgium,Belgium,BEL,17,Egypt,Egypt,EGY,7,Seattle,United States,Lumen Field,Seattle Stadium,Belgium vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
17,17,Fase de grupos,Group Stage,I,2026-06-16,Tuesday,4:00 pm,16:00,America/New_York,2026-06-16T16:00:00-04:00,2026-06-16T20:00:00+00:00,2026-06-16,15:00,2026-06-16T15:00:00-05:00,19,France,France,FRA,39,Senegal,Senegal,SEN,,New York New Jersey,United States,MetLife Stadium,New York New Jersey Stadium,France vs Senegal,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
18,18,Fase de grupos,Group Stage,I,2026-06-16,Tuesday,4:00 pm,16:00,America/New_York,2026-06-16T16:00:00-04:00,2026-06-16T20:00:00+00:00,2026-06-16,15:00,2026-06-16T15:00:00-05:00,24,Iraq,Iraq,IRQ,32,Norway,Norway,NOR,2,Boston,United States,Gillette Stadium,Boston Stadium,Iraq vs Norway,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
19,19,Fase de grupos,Group Stage,J,2026-06-16,Tuesday,4:00 pm,16:00,America/Chicago,2026-06-16T16:00:00-05:00,2026-06-16T21:00:00+00:00,2026-06-16,16:00,2026-06-16T16:00:00-05:00,2,Argentina,Argentina,ARG,1,Algeria,Algeria,ALG,,Kansas City,United States,Arrowhead Stadium,Kansas City Stadium,Argentina vs Algeria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
20,20,Fase de grupos,Group Stage,J,2026-06-16,Tuesday,5:00pm,16:00,America/Los_Angeles,,,2026-06-16,16:00,,4,Austria,Austria,AUT,26,Jordan,Jordan,JOR,,San Francisco Bay Area,United States,Levi's Stadium,San Francisco Bay Area Stadium,Austria vs Jordan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima. FECHA_REPARADA_POR_CONTEXTO_REVISAR.
